name,url,test_types,remote_testing,adaptive
Microsoft Outlook 2013 (adaptive),https://www.shl.com/products/product-catalog/view/microsoft-outlook-2013-adaptive/,K,No,No
Microsoft PowerPoint 365 - Essentials (New),https://www.shl.com/products/product-catalog/view/microsoft-powerpoint-365-essentials-new/,KS,No,No
Microsoft SQL Server 2014 Programming,https://www.shl.com/products/product-catalog/view/microsoft-sql-server-2014-programming/,K,No,No
Microsoft Windows Server 2012 Administration,https://www.shl.com/products/product-catalog/view/microsoft-windows-server-2012-administration/,K,No,No
Microsoft Word 365 - Essentials (New),https://www.shl.com/products/product-catalog/view/microsoft-word-365-essentials-new/,KS,No,No
Microsoft Word 365 (New),https://www.shl.com/products/product-catalog/view/microsoft-word-365-new/,SK,No,No
Mineral Engineering (New),https://www.shl.com/products/product-catalog/view/mineral-engineering-new/,K,No,No
Mining Engineering (New),https://www.shl.com/products/product-catalog/view/mining-engineering-new/,K,No,No
Mobility (New),https://www.shl.com/products/product-catalog/view/mobility-new/,K,No,No
Molecular Biology (New),https://www.shl.com/products/product-catalog/view/molecular-biology-new/,K,No,No
MongoDB (New),https://www.shl.com/products/product-catalog/view/mongodb-new/,K,No,No
Motivation Questionnaire MQM5,https://www.shl.com/products/product-catalog/view/motivation-questionnaire-mqm5/,P,No,No
MQ Candidate Motivation Report,https://www.shl.com/products/product-catalog/view/mq-candidate-motivation-report/,P,No,No
MQ Employee Motivation Report,https://www.shl.com/products/product-catalog/view/mq-employee-motivation-report/,P,No,No
MQ Motivation Report Pack,https://www.shl.com/products/product-catalog/view/mq-motivation-report-pack/,P,No,No
MQ Profile,https://www.shl.com/products/product-catalog/view/mq-profile/,P,No,No
MS Access (New),https://www.shl.com/products/product-catalog/view/ms-access-new/,K,No,No
MS Excel (New),https://www.shl.com/products/product-catalog/view/ms-excel-new/,K,No,No
MS Office Basic Computer Literacy (New),https://www.shl.com/products/product-catalog/view/ms-office-basic-computer-literacy-new/,K,No,No
MS Office Basic Computer Literacy (Sim) (New),https://www.shl.com/products/product-catalog/view/ms-office-basic-computer-literacy-sim-new/,S,No,No
MS PowerPoint (New),https://www.shl.com/products/product-catalog/view/ms-powerpoint-new/,K,No,No
MS Word (New),https://www.shl.com/products/product-catalog/view/ms-word-new/,K,No,No
MuleSoft Development (New),https://www.shl.com/products/product-catalog/view/mulesoft-development-new/,K,No,No
Multitasking Ability,https://www.shl.com/products/product-catalog/view/multitasking-ability/,AKS,No,No
Networking and Implementation (New),https://www.shl.com/products/product-catalog/view/networking-and-implementation-new/,K,No,No
Node.js (New),https://www.shl.com/products/product-catalog/view/node-js-new/,K,No,No
Nursing (New),https://www.shl.com/products/product-catalog/view/nursing-new/,K,No,No
Occupational Personality Questionnaire OPQ32r,https://www.shl.com/products/product-catalog/view/occupational-personality-questionnaire-opq32r/,P,No,No
Operations Management (New),https://www.shl.com/products/product-catalog/view/operations-management-new/,K,No,No
OPQ Candidate Plus Report,https://www.shl.com/products/product-catalog/view/opq-candidate-plus-report/,P,No,No
OPQ Candidate Report 2.0,https://www.shl.com/products/product-catalog/view/opq-candidate-report-2-0/,P,No,No
OPQ Emotional Intelligence Report,https://www.shl.com/products/product-catalog/view/opq-emotional-intelligence-report/,P,No,No
OPQ Leadership Report,https://www.shl.com/products/product-catalog/view/opq-leadership-report/,P,No,No
OPQ Manager Plus Report,https://www.shl.com/products/product-catalog/view/opq-manager-plus-report/,P,No,No
OPQ Manager Plus Report 2.0,https://www.shl.com/products/product-catalog/view/opq-manager-plus-report-2-0/,P,No,No
OPQ Maximising your Learning Report,https://www.shl.com/products/product-catalog/view/opq-maximising-your-learning-report/,P,No,No
OPQ MQ Sales Report,https://www.shl.com/products/product-catalog/view/opq-mq-sales-report/,P,No,No
OPQ Premium Plus Report,https://www.shl.com/products/product-catalog/view/opq-premium-plus-report/,P,No,No
OPQ Premium Plus Report 2.0,https://www.shl.com/products/product-catalog/view/opq-premium-plus-report-2-0/,P,No,No
OPQ Profile Report,https://www.shl.com/products/product-catalog/view/opq-profile-report/,P,No,No
OPQ Team Impact Group Development Report,https://www.shl.com/products/product-catalog/view/opq-team-impact-group-development-report/,P,No,No
OPQ Team Impact Individual Development Report,https://www.shl.com/products/product-catalog/view/opq-team-impact-individual-development-report/,P,No,No
OPQ Team Impact Selection Report,https://www.shl.com/products/product-catalog/view/opq-team-impact-selection-report/,P,No,No
OPQ Team Types & Leadership Styles Profile,https://www.shl.com/products/product-catalog/view/opq-team-types-and-leadership-styles-profile/,P,No,No
OPQ Team Types and Leadership Styles Report,https://www.shl.com/products/product-catalog/view/opq-team-types-and-leadership-styles-report/,P,No,No
OPQ UCF Development Action Planner Report 1.0,https://www.shl.com/products/product-catalog/view/opq-ucf-development-action-planner-report/,P,No,No
OPQ UCF Development Action Planner Report 2.0,https://www.shl.com/products/product-catalog/view/opq-ucf-development-action-planner-report-2-0/,P,No,No
OPQ Universal Competency Report 1.0,https://www.shl.com/products/product-catalog/view/opq-universal-competency-report/,P,No,No
OPQ Universal Competency Report 2.0,https://www.shl.com/products/product-catalog/view/opq-universal-competency-report-2-0/,P,No,No
OPQ User and Managers Report,https://www.shl.com/products/product-catalog/view/opq-user-and-managers-report/,P,No,No
OPQ User Report,https://www.shl.com/products/product-catalog/view/opq-user-report/,PS,No,No
Oracle DBA (Advanced Level) (New),https://www.shl.com/products/product-catalog/view/oracle-dba-advanced-level-new/,K,No,No
Oracle DBA (Entry Level) (New),https://www.shl.com/products/product-catalog/view/oracle-dba-entry-level-new/,K,No,No
Oracle PL/SQL (New),https://www.shl.com/products/product-catalog/view/oracle-plsql-new/,K,No,No
Oracle WebLogic Server (New),https://www.shl.com/products/product-catalog/view/oracle-weblogic-server-new/,K,No,No
Organic Chemistry (New),https://www.shl.com/products/product-catalog/view/organic-chemistry-new/,K,No,No
Paint Technology (New),https://www.shl.com/products/product-catalog/view/paint-technology-new/,K,No,No
Pediatrics (New),https://www.shl.com/products/product-catalog/view/pediatrics-new/,K,No,No
Pega Development (New),https://www.shl.com/products/product-catalog/view/pega-development-new/,K,No,No
Perl (New),https://www.shl.com/products/product-catalog/view/perl-new/,K,No,No
Petrochemical Engineering (New),https://www.shl.com/products/product-catalog/view/petrochemical-engineering-new/,K,No,No
Petroleum Engineering (New),https://www.shl.com/products/product-catalog/view/petroleum-engineering-new/,K,No,No
Pharmaceutical Analysis (New),https://www.shl.com/products/product-catalog/view/pharmaceutical-analysis-new/,K,No,No
Pharmaceutical Chemistry (New),https://www.shl.com/products/product-catalog/view/pharmaceutical-chemistry-new/,K,No,No
Pharmaceutical Science (New),https://www.shl.com/products/product-catalog/view/pharmaceutical-science-new/,K,No,No
Pharmaceutics (New),https://www.shl.com/products/product-catalog/view/pharmaceutics-new/,K,No,No
Pharmacology (New),https://www.shl.com/products/product-catalog/view/pharmacology-new/,K,No,No
PHP (New),https://www.shl.com/products/product-catalog/view/php-new/,K,No,No
PJM Development Report,https://www.shl.com/products/product-catalog/view/pjm-development-report/,CAP,No,No
PJM Selection Report,https://www.shl.com/products/product-catalog/view/pjm-selection-report/,ACP,No,No
Polymer Engineering (New),https://www.shl.com/products/product-catalog/view/polymer-engineering-new/,K,No,No
Power Electronics and Drives (New),https://www.shl.com/products/product-catalog/view/power-electronics-and-drives-new/,K,No,No
Power System Engineering (New),https://www.shl.com/products/product-catalog/view/power-system-engineering-new/,K,No,No
Prism (New),https://www.shl.com/products/product-catalog/view/prism-new/,K,No,No
Production and Industrial Engineering (New),https://www.shl.com/products/product-catalog/view/production-and-industrial-engineering-new/,K,No,No
Production Engineering (New),https://www.shl.com/products/product-catalog/view/production-engineering-new/,K,No,No
Programming Concepts,https://www.shl.com/products/product-catalog/view/programming-concepts/,K,No,No
Project Management (2013),https://www.shl.com/products/product-catalog/view/project-management-2013/,K,No,No
Proofreading v1,https://www.shl.com/products/product-catalog/view/proofreading-v1/,K,No,No
Python (New),https://www.shl.com/products/product-catalog/view/python-new/,K,No,No
R Programming (New),https://www.shl.com/products/product-catalog/view/r-programming-new/,K,No,No
ReactJS (New),https://www.shl.com/products/product-catalog/view/reactjs-new/,K,No,No
Reading Comprehension - English v1,https://www.shl.com/products/product-catalog/view/reading-comprehension-english-v1/,A,No,No
Reading Comprehension - Spanish v1,https://www.shl.com/products/product-catalog/view/reading-comprehension-spanish-v1/,A,No,No
Reading Comprehension v2,https://www.shl.com/products/product-catalog/view/reading-comprehension-v2/,A,No,No
RemoteWorkQ,https://www.shl.com/products/product-catalog/view/remoteworkq/,C,No,No
RemoteWorkQ Manager Report,https://www.shl.com/products/product-catalog/view/remoteworkq-manager-report/,C,No,No
RemoteWorkQ Participant Report,https://www.shl.com/products/product-catalog/view/remoteworkq-participant-report/,C,No,No
RESTful Web Services (New),https://www.shl.com/products/product-catalog/view/restful-web-services-new/,K,No,No
Retail Sales and Service Simulation,https://www.shl.com/products/product-catalog/view/retail-sales-and-service-simulation/,BKSA,No,No
Reviewing Forms - US (R1),https://www.shl.com/products/product-catalog/view/reviewing-forms-us-r1/,K,No,No
Ruby (New),https://www.shl.com/products/product-catalog/view/ruby-new/,K,No,No
Ruby on Rails (New),https://www.shl.com/products/product-catalog/view/ruby-on-rails-new/,K,No,No
Sales & Service Phone Simulation,https://www.shl.com/products/product-catalog/view/sales-and-service-phone-simulation/,SB,No,No
Sales & Service Phone Solution,https://www.shl.com/products/product-catalog/view/sales-and-service-phone-solution/,BPS,No,No
Sales Interview Guide,https://www.shl.com/products/product-catalog/view/sales-interview-guide/,PP,No,No
Sales Profiler Cards,https://www.shl.com/products/product-catalog/view/sales-profiler-cards/,P,No,No
Sales Transformation 1.0 - Individual Contributor,https://www.shl.com/products/product-catalog/view/sales-transformation-report-individual-contributor/,P,No,No
Sales Transformation 2.0 - Individual Contributor,https://www.shl.com/products/product-catalog/view/salestransformationreport2-0-individualcontributor/,P,No,No
Sales Transformation Report 1.0 - Sales Manager,https://www.shl.com/products/product-catalog/view/sales-transformation-report-sales-manager/,P,No,No
Sales Transformation Report 2.0 - Sales Manager,https://www.shl.com/products/product-catalog/view/sales-transformation-report-2-0-sales-manager/,P,No,No
Salesforce Development (New),https://www.shl.com/products/product-catalog/view/salesforce-development-new/,K,No,No
SAP ABAP (Advanced Level) (New),https://www.shl.com/products/product-catalog/view/sap-abap-advanced-level-new/,K,No,No
SAP ABAP (Intermediate Level) (New),https://www.shl.com/products/product-catalog/view/sap-abap-intermediate-level-new/,K,No,No
SAP Basis (New),https://www.shl.com/products/product-catalog/view/sap-basis-new/,K,No,No
SAP Business Objects WebI (New),https://www.shl.com/products/product-catalog/view/sap-business-objects-webi-new/,K,No,No
SAP BW (Business Warehouse) (New),https://www.shl.com/products/product-catalog/view/sap-bw-business-warehouse-new/,K,No,No
SAP HCM (Human Capital Management) (New),https://www.shl.com/products/product-catalog/view/sap-hcm-human-capital-management-new/,K,No,No
SAP Hybris (New),https://www.shl.com/products/product-catalog/view/sap-hybris-new/,K,No,No
SAP Materials Management (New),https://www.shl.com/products/product-catalog/view/sap-materials-management-new/,K,No,No
SAP SD (Sales and Distribution) (New),https://www.shl.com/products/product-catalog/view/sap-sd-sales-and-distribution-new/,K,No,No
Search Engine Optimization (New),https://www.shl.com/products/product-catalog/view/search-engine-optimization-new/,K,No,No
Selenium (New),https://www.shl.com/products/product-catalog/view/selenium-new/,K,No,No
Shell Scripting (New),https://www.shl.com/products/product-catalog/view/shell-scripting-new/,K,No,No
SHL Verify Interactive - Inductive Reasoning,https://www.shl.com/products/product-catalog/view/shl-verify-interactive-inductive-reasoning/,AS,No,No
SHL Verify Interactive – Deductive Reasoning,https://www.shl.com/products/product-catalog/view/shl-verify-interactive-deductive-reasoning/,AS,No,No
SHL Verify Interactive – Numerical Reasoning,https://www.shl.com/products/product-catalog/view/shl-verify-interactive-numerical-reasoning/,AS,No,No
SHL Verify Interactive G+,https://www.shl.com/products/product-catalog/view/shl-verify-interactive-g/,A,No,No
SHL Verify Interactive Numerical Calculation,https://www.shl.com/products/product-catalog/view/shl-verify-interactive-numerical-calculation/,A,No,No
Siebel Development (New),https://www.shl.com/products/product-catalog/view/siebel-development-new/,K,No,No
Smart Interview Live,https://www.shl.com/products/product-catalog/view/smart-interview-live/,P,No,No
Smart Interview Live Coding,https://www.shl.com/products/product-catalog/view/smart-interview-live-coding/,K,No,No
Smart Interview On Demand,https://www.shl.com/products/product-catalog/view/smart-interview-on-demand/,P,No,No
Social Media (New),https://www.shl.com/products/product-catalog/view/social-media-new/,K,No,No
Software Business Analysis,https://www.shl.com/products/product-catalog/view/software-business-analysis/,K,No,No
SonarQube (New),https://www.shl.com/products/product-catalog/view/sonarqube-new/,K,No,No
Spelling (U.S.) (New),https://www.shl.com/products/product-catalog/view/spelling-u-s-new/,K,No,No
Split Screen Typing Test - Form 1,https://www.shl.com/products/product-catalog/view/split-screen-typing-test-form-1/,AK,No,No
Spring (New),https://www.shl.com/products/product-catalog/view/spring-new/,K,No,No
SQL (New),https://www.shl.com/products/product-catalog/view/sql-new/,K,No,No
SQL Server (New),https://www.shl.com/products/product-catalog/view/sql-server-new/,K,No,No
SQL Server Analysis Services (SSAS) (New),https://www.shl.com/products/product-catalog/view/sql-server-analysis-services-%28ssas%29-%28new%29/,K,No,No
SQL Server Integration Services (SSIS) (New),https://www.shl.com/products/product-catalog/view/sql-server-integration-services-ssis-new/,K,No,No
SQL Server Reporting Services (SSRS) (New),https://www.shl.com/products/product-catalog/view/sql-server-reporting-services-ssrs-new/,K,No,No
Statistical Analysis System (New),https://www.shl.com/products/product-catalog/view/statistical-analysis-system-new/,K,No,No
Struts (New),https://www.shl.com/products/product-catalog/view/struts-new/,K,No,No
SVAR - Spoken English (AUS),https://www.shl.com/products/product-catalog/view/svar-spoken-english-aus/,S,No,No
SVAR - Spoken English (Indian Accent)  (New),https://www.shl.com/products/product-catalog/view/svar-spoken-english-indian-accent-new/,S,No,No
SVAR - Spoken English (U.K.),https://www.shl.com/products/product-catalog/view/svar-spoken-english-u-k/,S,No,No
SVAR - Spoken English (US)  (New),https://www.shl.com/products/product-catalog/view/svar-spoken-english-us-new/,S,No,No
SVAR - Spoken French (Canadian) (New),https://www.shl.com/products/product-catalog/view/svar-spoken-french-canadian-new/,S,No,No
SVAR - Spoken French (European) (New),https://www.shl.com/products/product-catalog/view/svar-spoken-french-european-new/,S,No,No
SVAR - Spoken Spanish (Castilian) (New),https://www.shl.com/products/product-catalog/view/svar-spoken-spanish-castilian-new/,S,No,No
SVAR - Spoken Spanish (North American) (New),https://www.shl.com/products/product-catalog/view/svar-spoken-spanish-north-american-new/,S,No,No
Swing (New),https://www.shl.com/products/product-catalog/view/swing-new/,K,No,No
Tableau (New),https://www.shl.com/products/product-catalog/view/tableau-new/,K,No,No
Telecommunications Engineering (New),https://www.shl.com/products/product-catalog/view/telecommunications-engineering-new/,K,No,No
Teradata Development (New),https://www.shl.com/products/product-catalog/view/teradata-development-new/,K,No,No
Time Management (U.S.),https://www.shl.com/products/product-catalog/view/time-management-u-s/,K,No,No
Training Development,https://www.shl.com/products/product-catalog/view/training-development/,K,No,No
Typing (New),https://www.shl.com/products/product-catalog/view/typing-new/,S,No,No
UiPath RPA Development (New),https://www.shl.com/products/product-catalog/view/uipath-rpa-development-new/,K,No,No
Universal Competency Framework Interview Guide,https://www.shl.com/products/product-catalog/view/universal-competency-framework-interview-guide/,CP,No,No
Universal Competency Framework Job profiling guide,https://www.shl.com/products/product-catalog/view/universal-competency-framework-job-profiling-guide/,CP,No,No
Universal Competency Framework Profiler Cards (44),https://www.shl.com/products/product-catalog/view/universal-competency-framework-profiler-cards-44/,CP,No,No
UNIX (New),https://www.shl.com/products/product-catalog/view/unix-new/,K,No,No
VB.NET (New),https://www.shl.com/products/product-catalog/view/vb-net-new/,K,No,No
Verify - Deductive Reasoning,https://www.shl.com/products/product-catalog/view/verify-deductive-reasoning/,A,No,No
Verify - Following Instructions,https://www.shl.com/products/product-catalog/view/verify-following-instructions/,A,No,No
Verify - G+,https://www.shl.com/products/product-catalog/view/verify-g/,A,No,No
Verify - General Ability Screen,https://www.shl.com/products/product-catalog/view/verify-general-ability-screen/,A,No,No
Verify - Inductive Reasoning (2014),https://www.shl.com/products/product-catalog/view/verify-inductive-reasoning-2014/,A,No,No
Verify - Numerical Ability,https://www.shl.com/products/product-catalog/view/verify-numerical-ability/,A,No,No
Verify - Technical Checking - Next Generation,https://www.shl.com/products/product-catalog/view/verify-technical-checking-next-generation/,A,No,No
Verify - Verbal Ability - Next Generation,https://www.shl.com/products/product-catalog/view/verify-verbal-ability-next-generation/,A,No,No
Verify - Working with Information,https://www.shl.com/products/product-catalog/view/verify-working-with-information/,A,No,No
Verify G+ - Ability Test Report,https://www.shl.com/products/product-catalog/view/verify-g-ability-test-report/,A,No,No
Verify G+ - Candidate Report,https://www.shl.com/products/product-catalog/view/verify-g-candidate-report/,A,No,No
Verify Interactive Ability Report,https://www.shl.com/products/product-catalog/view/verify-interactive-ability-report/,A,No,No
Verify Interactive G+ Candidate Report,https://www.shl.com/products/product-catalog/view/verify-interactive-g-candidate-report/,A,No,No
Verify Interactive G+ Report,https://www.shl.com/products/product-catalog/view/verify-interactive-g-report/,A,No,No
Verify Interactive Process Monitoring,https://www.shl.com/products/product-catalog/view/verify-interactive-process-monitoring/,A,No,No
Virtual Assessment and Development Centers,https://www.shl.com/products/product-catalog/view/virtual-assessment-and-development-centers/,P,No,No
Visual Basic for Applications (New),https://www.shl.com/products/product-catalog/view/visual-basic-for-applications-new/,K,No,No
Visual Comparison - UK,https://www.shl.com/products/product-catalog/view/visual-comparison-uk/,K,No,No
Visual Comparison - US,https://www.shl.com/products/product-catalog/view/visual-comparison-us/,K,No,No
VLSI and Embedded Systems (New),https://www.shl.com/products/product-catalog/view/vlsi-and-embedded-systems-new/,K,No,No
What Is The Value - US,https://www.shl.com/products/product-catalog/view/what-is-the-value-us/,K,No,No
Workplace Administration Skills (New),https://www.shl.com/products/product-catalog/view/workplace-administration-skills-new/,K,No,No
Workplace Health and Safety (New),https://www.shl.com/products/product-catalog/view/workplace-health-and-safety-new/,K,No,No
WriteX - Email Writing (Customer Service) (New),https://www.shl.com/products/product-catalog/view/writex-email-writing-customer-service-new/,S,No,No
WriteX - Email Writing (Managerial) (New),https://www.shl.com/products/product-catalog/view/writex-email-writing-managerial-new/,S,No,No
WriteX - Email Writing (Sales) (New),https://www.shl.com/products/product-catalog/view/writex-email-writing-sales-new/,BS,No,No
Written English v1,https://www.shl.com/products/product-catalog/view/written-english-v1/,K,No,No
Written Spanish,https://www.shl.com/products/product-catalog/view/written-spanish/,K,No,No
Zabbix (New),https://www.shl.com/products/product-catalog/view/zabbix-new/,K,No,No
360 Digital Report,https://www.shl.com/products/product-catalog/view/360-digital-report/,D,No,No
360° Multi-Rater Feedback System (MFS),https://www.shl.com/products/product-catalog/view/360-multi-rater-feedback-system-mfs/,DP,No,No
